"","Dia setmana","Mes de any","Dia de mes","Hora de dia","Desc. Tipus vehicle implicat","Descripció sexe","Edat","Descripció tipus persona","Descripció victimització"
"405","1",7,19,16,"6","1","31","0","0"
"406","3",10,27,17,"17","0","18","1","0"
"407","1",12,20,13,"3","0","21","0","0"
"408","3",6,16,14,"12","0","54","2","0"
"409","4",12,16,9,"17","1","55","0","0"
"410","2",5,18,14,"17","1","7","1","0"
"411","2",5,18,14,"17","0","71","0","0"
"412","6",11,6,14,"11","1","38","1","0"
"413","6",11,6,14,"11","0","47","0","0"
"414","4",4,1,22,"11","0","64","0","0"
"415","5",4,30,0,"11","1","21","0","0"
"416","5",4,30,0,"11","1","21","1","0"
"417","1",5,31,19,"17","1","48","0","0"
"418","1",5,31,19,"17","1","49","0","0"
"419","1",5,31,19,"17","0","62","0","0"
"420","6",6,12,12,"17","1","19","1","0"
"421","6",6,12,12,"17","1","23","0","0"
"422","6",6,12,12,"17","1","23","1","0"
"423","2",2,17,14,"11","0","20","0","0"
"424","4",6,3,13,"17","0","53","0","0"
"425","1",1,26,11,"11","0","36","0","0"
"426","0",10,3,11,"11","1","17","0","0"
"427","0",10,3,11,"11","0","18","1","0"
"428","3",12,22,13,"11","1","18","1","0"
"429","3",12,22,13,"11","0","18","0","0"
"430","3",7,7,16,"12","0","39","2","0"
"431","4",10,28,17,"17","0","30","0","0"
"432","1",5,10,14,"11","0","27","0","0"
"433","0",9,12,15,"11","0","28","0","0"
"434","0",9,12,15,"11","0","49","0","0"
"435","1",3,15,8,"11","0","17","0","0"
"436","1",5,31,8,"17","1","14","2","0"
"437","3",11,17,15,"11","0","18","0","0"
"438","3",11,17,15,"11","0","18","1","0"
"439","3",6,16,9,"17","1","36","0","0"
"440","4",5,13,13,"17","0","34","0","0"
"441","1",2,9,1,"17","0","18","0","0"
"442","4",5,27,5,"11","0","21","0","0"
"443","2",2,10,14,"11","0","20","0","0"
"444","0",3,7,8,"11","0","42","0","0"
"445","5",3,19,11,"11","1","47","1","0"
"446","4",5,27,17,"11","0","31","0","0"
"447","0",6,20,12,"17","0","21","2","0"
"448","1",7,26,18,"17","1","58","0","0"
"449","2",4,13,15,"11","1","38","1","0"
